"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","37595570","20036453","0","0",,,,,,
"Landlocked developing countries","1950","20268537","10581567","0","0",,,,,,
"Small island developing States","1950","3791641","2021022","0","0",,,,,,
"Europe and Northern America","1950","121540146","58941814","0","0",,,,,,
"Northern America","1950","24773699","11915766","0","0",,,,,,
"Europe","1950","96766447","47026048","0","0",,,,,,
"Latin America and the Caribbean","1950","31773582","16754618","0","0",,,,,,
"Central and Southern Asia","1950","92619225","48840170","0","0",,,,,,
"Central Asia","1950","3572621","1713159","0","0",,,,,,
"Southern Asia","1950","89046604","47127011","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","153555898","81866722","0","0",,,,,,
"Eastern Asia","1950","120827189","64246367","0","0",,,,,,
"South-Eastern Asia","1950","32728709","17620355","0","0",,,,,,
"Northern Africa and Western Asia","1950","19357474","10285390","0","0",,,,,,
"Western Asia","1950","9483012","5055097","0","0",,,,,,
"Northern Africa","1950","9874462","5230293","0","0",,,,,,
"Sub-Saharan Africa","1950","33423306","17836922","0","0",,,,,,
"Oceania","1950","1938752","937373","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","488771","256923","0","0",,,,,,
"Australia and New Zealand","1950","1449981","680450","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1950","122990127","59622264","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1950","33217480","17877278","0","0",,,,,,
"World","1950","454208383","235463009","0","0",,,,,,
"Least developed countries","1951","38302207","20396055","0","0",,,,,,
"Landlocked developing countries","1951","20688140","10812192","0","0",,,,,,
"Small island developing States","1951","3878770","2069803","0","0",,,,,,
"Europe and Northern America","1951","121314816","58851414","0","0",,,,,,
"Northern America","1951","24529061","11884789","0","0",,,,,,
"Europe","1951","96785755","46966625","0","0",,,,,,
"Latin America and the Caribbean","1951","32361385","17022770","0","0",,,,,,
"Central and Southern Asia","1951","94252924","49683162","0","0",,,,,,
"Central Asia","1951","3684953","1784401","0","0",,,,,,
"Southern Asia","1951","90567971","47898761","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","156369698","83320486","0","0",,,,,,
"Eastern Asia","1951","122846135","65327444","0","0",,,,,,
